,date,open,high,low,close,volume,adjclose,amount,type,data
0,1651684469,159.6699981689453,162.16000366210938,159.25999450683594,161.84500122070312,45906105.0,161.84500122070312,,,
1,1651584600,158.14999389648438,160.7100067138672,156.32000732421875,159.47999572753906,88912900.0,159.47999572753906,,,
2,1651498200,156.7100067138672,158.22999572753906,153.27000427246094,157.9600067138672,123055300.0,157.9600067138672,,,
3,1651239000,161.83999633789062,166.1999969482422,157.25,157.64999389648438,131587100.0,157.64999389648438,,,
4,1651152600,159.25,164.52000427246094,158.92999267578125,163.63999938964844,130216800.0,163.63999938964844,,,
5,1651066200,155.91000366210938,159.7899932861328,155.3800048828125,156.57000732421875,88063200.0,156.57000732421875,,,
6,1650979800,162.25,162.33999633789062,156.72000122070312,156.8000030517578,95623200.0,156.8000030517578,,,
7,1650893400,161.1199951171875,163.1699981689453,158.4600067138672,162.8800048828125,96046400.0,162.8800048828125,,,
8,1650634200,166.4600067138672,167.8699951171875,161.5,161.7899932861328,84882400.0,161.7899932861328,,,
9,1650547800,168.91000366210938,171.52999877929688,165.91000366210938,166.4199981689453,87227800.0,166.4199981689453,,,
10,1650461400,168.75999450683594,168.8800048828125,166.10000610351562,167.22999572753906,67929800.0,167.22999572753906,,,
11,1650375000,165.02000427246094,167.82000732421875,163.91000366210938,167.39999389648438,67723800.0,167.39999389648438,,,
12,1650288600,163.9199981689453,166.60000610351562,163.57000732421875,165.07000732421875,69023900.0,165.07000732421875,,,
13,1649943000,170.6199951171875,171.27000427246094,165.0399932861328,165.2899932861328,75237500.0,165.2899932861328,,,
14,1649856600,167.38999938964844,171.0399932861328,166.77000427246094,170.39999389648438,70618900.0,170.39999389648438,,,
15,1649770200,168.02000427246094,169.8699951171875,166.63999938964844,167.66000366210938,79265200.0,167.66000366210938,,,
16,1649683800,168.7100067138672,169.02999877929688,165.5,165.75,72246700.0,165.75,,,
17,1649424600,171.77999877929688,171.77999877929688,169.1999969482422,170.08999633789062,76515900.0,170.08999633789062,,,
18,1649338200,171.16000366210938,173.36000061035156,169.85000610351562,172.13999938964844,77594700.0,172.13999938964844,,,
19,1649251800,172.36000061035156,173.6300048828125,170.1300048828125,171.8300018310547,89058800.0,171.8300018310547,,,
20,1649165400,177.5,178.3000030517578,174.4199981689453,175.05999755859375,73401800.0,175.05999755859375,,,
21,1649079000,174.57000732421875,178.49000549316406,174.44000244140625,178.44000244140625,76468400.0,178.44000244140625,,,
22,1648819800,174.02999877929688,174.8800048828125,171.94000244140625,174.30999755859375,78699800.0,174.30999755859375,,,
